Location,count
Horn,2
Ophoven,2
Livorno,2
Ancora Marina/Neustadt In Holstein,2
Burnham-On-Crouch,2
Mühlhausen-Ehingen,2
Méditerranée,2
Büsingen,2
La Spezia,2
Neustadt I. Holstein,2
Cala D' Or,2
Spandau,2
"Gersthofen, Augsburg",2
Werder,2
Fehmarn,2
Motorworld Böblingen,2
Riva San Vitale,2
Aclens,2
Toldbodgade 94 ,2
Roermond,2
Grömitz ,2
Bielersee ,2
Port Grimaud,2
"Varazze, Liguria",2
Sada,2
Fa. Siegel,2
Menton,2
Agno,2
Horgen ,2
Maasbracht,2
Boote Riedl Klagenfurt,2
Wagenhausen,2
Altendorf,2
Gletterens ,2
Vitznau,2
Wangen bei Dübendorf,2
Nice,2
Arbon ,2
Mannheim,2
Sneek,2
Nuolen,2
Rohrspitz,2
Lutry ,2
Santa Ponsa ,2
Dortmund,2
Barbengo ,2
Thun ,2
Genova ,2
Donau,2
Genova,2
Terracina,2
Frejus,2
Pfäffikon Sz ,2
Gohren,2
Brissago/Locarno ,2
Ascona,2
Schmerikon ,2
Toulon,2
Bonifacio,2
Lonay,2
Valencia,2
Neukirchen-Vluyn,2
Hauterive ,2
74076,1
Santateresa Gallura ,1
Boote and service,1
Moniga Del Garda (Bs) ,1
Southampton,1
Nord,1
Sonwik,1
Saal A .D. Donau ,1
Gouvia Marina,1
Carrega Ligure,1
Hospitalet Del Infante,1
La Grande Motte,1
Mar Ostseeo,1
Röbel (Müritz),1
Marseille,1
Mosel,1
Norderney ,1
Krefeld,1
Nahe Saarbrücken,1
Adligenswil (Showroom W.A.R.),1
Sous Hangar,1
Werft Busswil,1
Marina Veruda,1
Hann. Muenden/ Bodenseestufe,1
41100,1
Mosel ,1
"Jona, Stampf Hafen ",1
Hasselt,1
Peschiera,1
Utrecht ,1
Muenchen,1
Magadino ,1
"Veneto, Adria",1
Bodensee ,1
Landschlacht ,1
Santa Ponca ,1
Ipswich,1
St. Marine,1
Bottighofen ,1
Schlei,1
Bleckede,1
Roermond ,1
Bispingen,1
Trailer,1
Saal An Der Donau,1
La Rochelle,1
Fahrensodde,1
Toldbodgade 94,1
Rab,1
Kembs ,1
Tenerife,1
Mittelrhein,1
Pacengo ,1
Reese Marin PbS,1
Vernier,1
Brandenburg -Havel,1
Evian Les Bains ,1
"Einigen, Bootswerft Hächler ",1
Werft Sutz- Lattrigen,1
Rhein/Main,1
La Seyne,1
Port de la Pointe Rouge,1
Cala D´Or / Mallorca,1
Boote+Service Oberbayern,1
Raum Berlin,1
Oeiras,1
Greifswald / Ostsee,1
Ütrecht,1
Santa Teresa Gallura ,1
Toscana Grosseto,1
Porto San Rocco - Muggia (Trieste) ,1
Linz ,1
Esens-Bensersiel,1
Hasselt ,1
Harlingen ,1
Cremona,1
Punta Ala,1
Gooierhoofd,1
Bielersee,1
Augsburg-Gersthofen,1
Leissigen,1
Cascais,1
8881 Tscherlach/Walenstadt ,1
Flensburger Förde ,1
San Giorgi,1
Venezia ,1
"Marina Wassersport, ",1
Konradshöhe,1
"Lindau, Bodensee",1
Prangins,1
Q,1
74889,1
Kesswil,1
"Bosa, Sardinia",1
Cordoba,1
"Munich""",1
San Antonio,1
Zeewolde ,1
Baar,1
Allensbach / Bodensee,1
Gwatt / Thun ,1
Veen,1
Lege Cap Ferret,1
Burg-Dithmarschen,1
Groß Kreutz ,1
Kressbronn-Gohren,1
Pontevedra,1
Levington,1
Ostfriesische Insel,1
"Viareggio, Toscana",1
Meersburg,1
Werder/Havel,1
Kappeln,1
Salerno ,1
Trogir ,1
Elbe ,1
Ostsee ,1
Harburg ,1
Stäfa Am Zürichsee ,1
Lago,1
St Vaast De La Darse,1
Attersee,1
Cesenatico,1
Obersee,1
Spalato,1
"25080 Manerba Del Garda, Lago Di Garda - Gardasee",1
Cavalaire,1
Verbania,1
Löhne-Gohfeld,1
Lac D'Aiguebelette,1
Gouvia,1
Sardaigne,1
Rügen/Ostsee,1
Santa Ponca,1
Como ,1
"Sicilia, Mar Tirreno",1
Groß Kreutz,1
Lindau,1
Wolgast,1
Dronten,1
Berlin Bootscenter Keser,1
Münchwilen Ag,1
Tolochenaz,1
Pratteln ,1
Seelze/Hannover,1
Mallorca/Ibiza,1
Standort,1
Wessem,1
"Genova, Liguria",1
Bad Schwartau ,1
Fréjus,1
Molecaten Park Flevostrand,1
